,direct_radiation (W/m²),diffuse_radiation (W/m²),Hora,Data,Normal (kWh),Horario Economico (kWh),Autoconsumo (kWh),Injecao na rede (kWh)_code,temp,humidity,wind_speed,rain_1h,clouds_all
0,0.0,0.0,0,2021-09-29,0.0,0.0,0.0,0,13.97,81,1.96,0.0,87
1,0.0,0.0,1,2021-09-29,0.0,0.0,0.0,0,13.48,82,1.83,0.0,91
2,0.0,0.0,2,2021-09-29,0.0,0.0,0.0,0,12.93,84,1.96,0.0,93
3,0.0,0.0,3,2021-09-29,0.0,0.0,0.0,0,12.61,85,1.85,0.0,95
4,0.0,0.0,4,2021-09-29,0.0,0.0,0.0,0,12.61,86,1.83,0.0,93
5,0.0,0.0,5,2021-09-29,0.0,0.0,0.0,0,12.62,85,2.04,0.0,90
6,0.0,0.0,6,2021-09-29,0.0,0.0,0.0,0,12.61,83,1.98,0.0,83
7,3.0,6.0,7,2021-09-29,0.0,0.0,0.0,0,13.27,78,2.34,0.0,87
8,83.0,47.0,8,2021-09-29,0.0,0.0,0.0,0,16.14,75,2.15,0.0,65
9,241.0,69.0,9,2021-09-29,0.0,0.0,0.0,0,18.85,67,1.76,0.0,18
10,388.0,88.0,10,2021-09-29,0.0,0.0,0.0,0,19.83,66,2.09,0.0,3
11,512.0,95.0,11,2021-09-29,0.0,0.0,0.0,0,20.71,65,2.69,0.0,12
12,603.0,91.0,12,2021-09-29,0.0,0.0,0.0,0,21.76,64,2.86,0.0,25
13,537.0,132.0,13,2021-09-29,0.0,0.0,0.0,0,22.82,61,2.78,0.0,26
14,584.0,95.0,14,2021-09-29,0.0,0.0,0.0,0,23.34,61,2.71,0.0,31
15,496.0,88.0,15,2021-09-29,0.215,0.0,0.0,0,23.83,59,2.95,0.0,44
16,363.0,81.0,16,2021-09-29,0.433,0.0,0.149,1,23.8,58,3.36,0.0,25
17,194.0,73.0,17,2021-09-29,0.292,0.0,0.315,1,22.99,61,3.22,0.0,21
18,33.0,52.0,18,2021-09-29,0.522,0.0,0.06,0,21.51,65,3.44,0.0,10
19,0.0,2.0,19,2021-09-29,0.581,0.0,0.0,0,20.19,69,3.21,0.0,2
20,0.0,0.0,20,2021-09-29,0.506,0.0,0.0,0,19.09,72,2.98,0.0,10
21,0.0,0.0,21,2021-09-29,0.534,0.0,0.0,0,18.25,74,2.8,0.0,11
22,0.0,0.0,22,2021-09-29,0.726,0.0,0.0,0,17.74,79,2.47,0.0,16
23,0.0,0.0,23,2021-09-29,0.662,0.0,0.0,0,17.96,72,2.4,0.0,5
24,0.0,0.0,0,2021-09-30,0.704,0.0,0.0,0,13.97,87,2.07,0.0,39
25,0.0,0.0,1,2021-09-30,0.466,0.0,0.0,0,17.34,71,1.93,0.0,88
26,0.0,0.0,2,2021-09-30,0.356,0.0,0.0,0,13.73,88,1.81,0.0,98
27,0.0,0.0,3,2021-09-30,0.355,0.0,0.0,0,12.92,90,1.78,0.0,73
28,0.0,0.0,4,2021-09-30,0.346,0.0,0.0,0,12.88,91,1.77,0.0,42
29,0.0,0.0,5,2021-09-30,0.351,0.0,0.0,0,17.16,73,1.83,0.0,28
30,0.0,0.0,6,2021-09-30,0.454,0.0,0.0,0,11.58,91,1.81,0.0,40
31,3.0,6.0,7,2021-09-30,0.372,0.0,0.002,0,11.67,90,1.71,0.0,2
32,84.0,44.0,8,2021-09-30,0.366,0.0,0.228,2,19.4,64,1.86,0.0,0
33,231.0,73.0,9,2021-09-30,0.0,0.0,0.268,3,20.63,62,1.03,0.0,25
34,389.0,85.0,10,2021-09-30,0.0,0.0,0.268,3,22.31,62,0.73,0.0,84
35,509.0,96.0,11,2021-09-30,0.0,0.0,0.278,4,22.94,62,0.48,0.0,30
36,577.0,106.0,12,2021-09-30,0.026,0.0,0.352,4,24.49,54,0.62,0.0,65
37,619.0,94.0,13,2021-09-30,0.003,0.0,0.378,3,24.9,56,1.21,0.0,89
38,586.0,91.0,14,2021-09-30,0.0,0.0,0.45,3,26.2,51,2.17,0.0,24
39,498.0,86.0,15,2021-09-30,0.0,0.0,0.42,3,26.48,49,3.05,0.0,19
40,360.0,82.0,16,2021-09-30,0.054,0.0,0.35,3,25.84,51,3.27,0.0,0
41,181.0,79.0,17,2021-09-30,0.105,0.0,0.216,1,23.67,61,2.81,0.0,1
42,49.0,40.0,18,2021-09-30,0.419,0.0,0.032,0,22.02,67,2.29,0.0,55
43,0.0,2.0,19,2021-09-30,0.341,0.0,0.0,0,19.9,75,1.65,0.0,96
44,0.0,0.0,20,2021-09-30,0.585,0.0,0.0,0,18.78,77,1.08,0.0,98
45,0.0,0.0,21,2021-09-30,0.523,0.0,0.0,0,18.23,80,1.56,0.0,98
46,0.0,0.0,22,2021-09-30,0.562,0.0,0.0,0,17.62,80,1.32,0.0,100
47,0.0,0.0,23,2021-09-30,0.599,0.0,0.0,0,17.67,82,2.06,0.0,100
48,0.0,0.0,0,2021-10-01,0.611,0.0,0.0,0,16.63,85,1.23,0.0,99
49,0.0,0.0,1,2021-10-01,0.557,0.0,0.0,0,16.05,86,1.87,0.0,92
50,0.0,0.0,2,2021-10-01,0.446,0.0,0.0,0,16.15,85,1.49,0.0,93
51,0.0,0.0,3,2021-10-01,0.336,0.0,0.0,0,16.14,88,1.5,0.0,14
52,0.0,0.0,4,2021-10-01,0.306,0.0,0.0,0,15.07,89,1.1,0.0,60
53,0.0,0.0,5,2021-10-01,0.268,0.0,0.0,0,15.6,90,1.35,0.0,86
54,0.0,0.0,6,2021-10-01,0.279,0.0,0.0,0,15.44,89,1.24,0.0,92
55,0.0,5.0,7,2021-10-01,0.281,0.0,0.0,0,14.97,91,1.06,0.0,98
