  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.0000e+00           99.68393520            0.00000000        5261.47657561         -123.03312745         5138.44344816 
  5.0000e-15           98.82433408            0.00000000        5216.10546169         -123.78141477         5092.32404692 
  1.0000e-14           97.41657222            0.00000000        5141.80155304         -128.11612356         5013.68542949 
  1.5000e-14           95.48544903            0.00000000        5039.87380105         -128.27990928         4911.59389177 
  2.0000e-14           93.06556263            0.00000000        4912.14834939         -130.20292508         4781.94542431 
  2.5000e-14           90.20176024            0.00000000        4760.99230663         -122.59662695         4638.39567968 
  3.0000e-14           86.94955760            0.00000000        4589.33588076         -123.44926819         4465.88661257 
  3.5000e-14           83.37538796            0.00000000        4400.68552521         -128.70174928         4271.98377593 
  4.0000e-14           79.55651151            0.00000000        4199.11915474         -129.45607373         4069.66308101 
  4.5000e-14           75.58039535            0.00000000        3989.25342296         -114.24463247         3875.00879049 
  5.0000e-14           71.54337500            0.00000000        3776.17307082         -130.38341924         3645.78965158 
  5.5000e-14           67.54844123            0.00000000        3565.31411563         -118.33229386         3446.98182177 
  6.0000e-14           63.70207351            0.00000000        3362.29671232         -110.49082300         3251.80588932 
  6.5000e-14           60.11016458            0.00000000        3172.71004875         -103.61155469         3069.09849406 
  7.0000e-14           56.87324088            0.00000000        3001.86006951          -97.13897399         2904.72109552 
  7.5000e-14           54.08135103            0.00000000        2854.49968465         -112.54983792         2741.94984672 
  8.0000e-14           51.80912907            0.00000000        2734.56819753         -117.01661026         2617.55158727 
  8.5000e-14           50.11159520            0.00000000        2644.96966097         -105.20800989         2539.76165108 
  9.0000e-14           49.02120678            0.00000000        2587.41722678         -112.49045301         2474.92677377 
  9.5000e-14           48.54651723            0.00000000        2562.36235763         -121.52637528         2440.83598236 
  1.0000e-13           48.67257374            0.00000000        2569.01582082          -98.07656251         2470.93925831 
  1.0500e-13           49.36294299            0.00000000        2605.45460705         -113.36241878         2492.09218827 
  1.1000e-13           50.56305203            0.00000000        2668.79827019          -97.13427511         2571.66399508 
  1.1500e-13           52.20440815            0.00000000        2755.43165575         -106.34255408         2649.08910167 
  1.2000e-13           54.20922624            0.00000000        2861.24914201         -108.47185776         2752.77728425 
  1.2500e-13           56.49503309            0.00000000        2981.89766107         -123.03370233         2858.86395873 
  1.3000e-13           58.97890733            0.00000000        3113.00049223         -114.92659233         2998.07389990 
  1.3500e-13           61.58112366            0.00000000        3250.34960727         -117.75417518         3132.59543209 
  1.4000e-13           64.22807627            0.00000000        3390.05997390         -121.68531113         3268.37466277 
